Key,Summary,Status,Priority,Risk Type,Due Date,Resolved Date,Resolution Type,Component,Assignee (S),Reporter (S)
RCM-450,Finance App exposes personal data due to improper access control.,Done,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10080', 'value': 'Data Privacy Risk', 'id': '10080'}",2023-04-13,2023-06-30,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10102', 'value': 'Accepted', 'id': '10102'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10008', 'id': '10008', 'name': 'Finance App'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10090', 'value': 'sota.fujikawa@example.com', 'id': '10090'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-449,Finance App grants unnecessary privileges to non-admin users.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10086', 'value': 'Access Control Risk', 'id': '10086'}",,2025-04-02,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10103', 'value': 'Third party', 'id': '10103'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10008', 'id': '10008', 'name': 'Finance App'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-448,Customer DB relies on unvetted external vendors for critical operations.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10007', 'id': '10007', 'name': 'Customer DB'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-447,Finance App relies on unvetted external vendors for critical operations.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",2023-04-30,2025-03-15,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10103', 'value': 'Third party', 'id': '10103'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10008', 'id': '10008', 'name': 'Finance App'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10094', 'value': 'takumi.nishida@example.com', 'id': '10094'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-446,Customer DB has inefficient workflows causing repeated processing errors.,Done,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",,2025-02-23,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10100', 'value': 'Duplicate', 'id': '10100'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10007', 'id': '10007', 'name': 'Customer DB'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10090', 'value': 'sota.fujikawa@example.com', 'id': '10090'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-445,Admin Console contains inconsistent or corrupted entries due to lack of validation.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10084', 'value': 'Data Integrity Risk', 'id': '10084'}",2024-06-30,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10094', 'value': 'takumi.nishida@example.com', 'id': '10094'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-444,Data Warehouse grants unnecessary privileges to non-admin users.,To Do,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10086', 'value': 'Access Control Risk', 'id': '10086'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10005', 'id': '10005', 'name': 'Data Warehouse'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10090', 'value': 'sota.fujikawa@example.com', 'id': '10090'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-443,API Gateway has inefficient workflows causing repeated processing errors.,Done,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",2025-04-29,2025-03-01,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10098', 'value': 'Resolved', 'id': '10098'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-442,Admin Console is not aligned with regulatory standards or lacks compliance documentation.,Done,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10082', 'value': 'Compliance Risk', 'id': '10082'}",2024-06-09,2024-09-07,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10098', 'value': 'Resolved', 'id': '10098'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-441,API Gateway lacks documented release processes and R&R for approvals.,To Do,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10087', 'value': 'Change Management Risk', 'id': '10087'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-440,Admin Console has inefficient workflows causing repeated processing errors.,In Progress,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",2025-04-28,2025-03-17,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10099', 'value': ""Won't resolve"", 'id': '10099'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10092', 'value': 'naomi.ishikawa@example.com', 'id': '10092'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-439,API Gateway exposes personal data due to improper access control.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10080', 'value': 'Data Privacy Risk', 'id': '10080'}",2025-04-28,2025-03-24,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10098', 'value': 'Resolved', 'id': '10098'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-438,Finance App has inefficient workflows causing repeated processing errors.,In Progress,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",2025-04-22,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10008', 'id': '10008', 'name': 'Finance App'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-437,System B exposes personal data due to improper access control.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10080', 'value': 'Data Privacy Risk', 'id': '10080'}",2025-04-11,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10001', 'id': '10001', 'name': 'System B'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-436,API Gateway has experienced unplanned outages due to missing redundancy.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10083', 'value': 'System Availability Risk', 'id': '10083'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-435,Admin Console lacks documented release processes and R&R for approvals.,In Progress,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10087', 'value': 'Change Management Risk', 'id': '10087'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-434,HR Portal is not aligned with regulatory standards or lacks compliance documentation.,In Progress,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10082', 'value': 'Compliance Risk', 'id': '10082'}",2024-05-07,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10004', 'id': '10004', 'name': 'HR Portal'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-433,System A exposes personal data due to improper access control.,Done,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10080', 'value': 'Data Privacy Risk', 'id': '10080'}",,2024-03-20,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10102', 'value': 'Accepted', 'id': '10102'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10006', 'id': '10006', 'name': 'System A'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-432,System C contains inconsistent or corrupted entries due to lack of validation.,To Do,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10084', 'value': 'Data Integrity Risk', 'id': '10084'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10000', 'id': '10000', 'name': 'System C'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-431,System C has inefficient workflows causing repeated processing errors.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",2025-04-19,2025-02-28,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10103', 'value': 'Third party', 'id': '10103'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10000', 'id': '10000', 'name': 'System C'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10091', 'value': 'alice.nakamura@example.com', 'id': '10091'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-430,Data Warehouse grants unnecessary privileges to non-admin users.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10086', 'value': 'Access Control Risk', 'id': '10086'}",2025-04-09,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10005', 'id': '10005', 'name': 'Data Warehouse'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-429,System C is susceptible to insider misuse due to weak monitoring.,In Progress,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10088', 'value': 'Insider Threat Risk', 'id': '10088'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10000', 'id': '10000', 'name': 'System C'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-428,Admin Console has inefficient workflows causing repeated processing errors.,Done,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",2024-04-30,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-427,Data Warehouse is not aligned with regulatory standards or lacks compliance documentation.,In Progress,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10082', 'value': 'Compliance Risk', 'id': '10082'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10005', 'id': '10005', 'name': 'Data Warehouse'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10090', 'value': 'sota.fujikawa@example.com', 'id': '10090'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-426,Finance App is not aligned with regulatory standards or lacks compliance documentation.,To Do,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10082', 'value': 'Compliance Risk', 'id': '10082'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10008', 'id': '10008', 'name': 'Finance App'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10090', 'value': 'sota.fujikawa@example.com', 'id': '10090'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-425,API Gateway contains inconsistent or corrupted entries due to lack of validation.,Done,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10084', 'value': 'Data Integrity Risk', 'id': '10084'}",,2025-03-23,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10102', 'value': 'Accepted', 'id': '10102'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-424,Finance App lacks documented release processes and R&R for approvals.,To Do,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10087', 'value': 'Change Management Risk', 'id': '10087'}",,2024-03-21,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10101', 'value': 'Invalid', 'id': '10101'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10008', 'id': '10008', 'name': 'Finance App'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-423,Data Warehouse lacks encryption and secure transmission protocols.,In Progress,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10081', 'value': 'Data Security Risk', 'id': '10081'}",2025-04-28,2025-03-30,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10100', 'value': 'Duplicate', 'id': '10100'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10005', 'id': '10005', 'name': 'Data Warehouse'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-422,Admin Console has experienced unplanned outages due to missing redundancy.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10083', 'value': 'System Availability Risk', 'id': '10083'}",,2025-03-20,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10101', 'value': 'Invalid', 'id': '10101'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
