Key,Summary,Status,Priority,Risk Type,Due Date,Resolved Date,Resolution Type,Component,Assignee (S),Reporter (S)
RCM-421,HR Portal has inefficient workflows causing repeated processing errors.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",2025-04-03,2025-03-29,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10098', 'value': 'Resolved', 'id': '10098'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10004', 'id': '10004', 'name': 'HR Portal'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-420,Admin Console grants unnecessary privileges to non-admin users.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10086', 'value': 'Access Control Risk', 'id': '10086'}",,2025-03-08,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10100', 'value': 'Duplicate', 'id': '10100'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-419,API Gateway is not aligned with regulatory standards or lacks compliance documentation.,To Do,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10082', 'value': 'Compliance Risk', 'id': '10082'}",2025-04-19,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-418,Admin Console grants unnecessary privileges to non-admin users.,In Progress,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10086', 'value': 'Access Control Risk', 'id': '10086'}",2025-02-28,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-417,System A lacks encryption and secure transmission protocols.,Done,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10081', 'value': 'Data Security Risk', 'id': '10081'}",,2025-02-22,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10099', 'value': ""Won't resolve"", 'id': '10099'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10006', 'id': '10006', 'name': 'System A'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-416,Customer DB has experienced unplanned outages due to missing redundancy.,To Do,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10083', 'value': 'System Availability Risk', 'id': '10083'}",2001-09-30,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10007', 'id': '10007', 'name': 'Customer DB'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-415,API Gateway grants unnecessary privileges to non-admin users.,Done,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10086', 'value': 'Access Control Risk', 'id': '10086'}",2025-04-27,2024-12-31,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10103', 'value': 'Third party', 'id': '10103'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10091', 'value': 'alice.nakamura@example.com', 'id': '10091'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-414,System C relies on unvetted external vendors for critical operations.,In Progress,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",2025-05-01,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10000', 'id': '10000', 'name': 'System C'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-413,HR Portal relies on unvetted external vendors for critical operations.,To Do,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",2024-11-29,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10004', 'id': '10004', 'name': 'HR Portal'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10091', 'value': 'alice.nakamura@example.com', 'id': '10091'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-412,System A is susceptible to insider misuse due to weak monitoring.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10088', 'value': 'Insider Threat Risk', 'id': '10088'}",2025-04-25,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10006', 'id': '10006', 'name': 'System A'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10091', 'value': 'alice.nakamura@example.com', 'id': '10091'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-411,API Gateway exposes personal data due to improper access control.,In Progress,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10080', 'value': 'Data Privacy Risk', 'id': '10080'}",2025-04-18,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-410,System B is susceptible to insider misuse due to weak monitoring.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10088', 'value': 'Insider Threat Risk', 'id': '10088'}",2025-05-02,2025-03-19,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10098', 'value': 'Resolved', 'id': '10098'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10001', 'id': '10001', 'name': 'System B'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-409,System C relies on unvetted external vendors for critical operations.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",,2025-04-02,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10102', 'value': 'Accepted', 'id': '10102'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10000', 'id': '10000', 'name': 'System C'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10090', 'value': 'sota.fujikawa@example.com', 'id': '10090'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-408,Admin Console lacks documented release processes and R&R for approvals.,Done,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10087', 'value': 'Change Management Risk', 'id': '10087'}",,2025-04-02,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10102', 'value': 'Accepted', 'id': '10102'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10091', 'value': 'alice.nakamura@example.com', 'id': '10091'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-407,API Gateway has experienced unplanned outages due to missing redundancy.,To Do,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10083', 'value': 'System Availability Risk', 'id': '10083'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-406,HR Portal grants unnecessary privileges to non-admin users.,In Progress,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10086', 'value': 'Access Control Risk', 'id': '10086'}",2025-04-21,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10004', 'id': '10004', 'name': 'HR Portal'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10092', 'value': 'naomi.ishikawa@example.com', 'id': '10092'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-405,System A lacks encryption and secure transmission protocols.,In Progress,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10081', 'value': 'Data Security Risk', 'id': '10081'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10006', 'id': '10006', 'name': 'System A'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-404,System A lacks encryption and secure transmission protocols.,To Do,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10081', 'value': 'Data Security Risk', 'id': '10081'}",2025-04-11,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10006', 'id': '10006', 'name': 'System A'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-403,Data Warehouse relies on unvetted external vendors for critical operations.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10005', 'id': '10005', 'name': 'Data Warehouse'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-402,API Gateway relies on unvetted external vendors for critical operations.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",2025-05-01,2025-03-20,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10102', 'value': 'Accepted', 'id': '10102'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-401,HR Portal relies on unvetted external vendors for critical operations.,Done,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",2025-04-19,2024-11-27,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10098', 'value': 'Resolved', 'id': '10098'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10004', 'id': '10004', 'name': 'HR Portal'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-400,System B has inefficient workflows causing repeated processing errors.,To Do,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10001', 'id': '10001', 'name': 'System B'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10091', 'value': 'alice.nakamura@example.com', 'id': '10091'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-399,System B has inefficient workflows causing repeated processing errors.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",,2025-02-16,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10102', 'value': 'Accepted', 'id': '10102'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10001', 'id': '10001', 'name': 'System B'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-398,Admin Console has experienced unplanned outages due to missing redundancy.,Done,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10083', 'value': 'System Availability Risk', 'id': '10083'}",2025-04-29,2024-03-06,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10099', 'value': ""Won't resolve"", 'id': '10099'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-397,API Gateway lacks documented release processes and R&R for approvals.,In Progress,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10087', 'value': 'Change Management Risk', 'id': '10087'}",2025-04-24,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-396,System C is not aligned with regulatory standards or lacks compliance documentation.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10082', 'value': 'Compliance Risk', 'id': '10082'}",2025-04-22,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10000', 'id': '10000', 'name': 'System C'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-395,System B has experienced unplanned outages due to missing redundancy.,To Do,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10083', 'value': 'System Availability Risk', 'id': '10083'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10001', 'id': '10001', 'name': 'System B'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-394,System B lacks encryption and secure transmission protocols.,In Progress,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10081', 'value': 'Data Security Risk', 'id': '10081'}",2025-04-07,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10001', 'id': '10001', 'name': 'System B'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-393,System B relies on unvetted external vendors for critical operations.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",2025-04-11,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10001', 'id': '10001', 'name': 'System B'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-392,System B contains inconsistent or corrupted entries due to lack of validation.,To Do,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10084', 'value': 'Data Integrity Risk', 'id': '10084'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10001', 'id': '10001', 'name': 'System B'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-391,System C lacks documented release processes and R&R for approvals.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10087', 'value': 'Change Management Risk', 'id': '10087'}",2025-04-06,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10000', 'id': '10000', 'name': 'System C'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
